labels,year,ISO_code,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank
0,2017-01-01,LKA,Sri Lanka,South Asia,6.41,110.0,3.0,3.7,4.5,4.8,4.5,9.1,5.0,10.0,5.0,10.0,10.0,8.0,10.0,,,0.0,5.0,7.4,10.0,10.0,10.0,10.0,,,7.5,7.4,5.7,6.9,5.0,5.0,,,5.0,,,5.0,,,7.5,5.5,10.0,10.0,4.3,3.8,7.5,7.5,7.5,7.2,7.0,0.0,0.0,0.0,2.5,3.2,6.25,114.0,8.2,9.3,7.0,9.0,8.0,8.5,5.1,7.6,4.8,3.7,5.0,5.0,5.8,3.6,7.6,5.0,5.9,0.9,4.9,8.0,8.8,8.5,5.0,7.6,6.4,8.1,4.3,6.3,5.2,,5.2,10.0,5.4,0.0,0.0,1.8,5.8,5.0,7.7,10.0,7.6,10.0,4.1,6.7,8.0,0,10.0,6.5,3.4,5.6,9.6,3.5,9.5,8.6,6.7,6.9,6.57,104.0
0,2017-01-01,PAK,Pakistan,South Asia,5.69,140.0,4.0,1.9,3.7,3.8,3.5,8.3,0.0,9.0,2.5,8.2,7.9,5.5,10.0,,,0.0,5.0,6.3,10.0,0.0,2.5,4.2,,,2.5,6.0,3.7,4.0,7.5,7.5,,,10.0,,,10.0,,,10.0,9.0,9.5,9.9,3.7,2.5,10.0,7.5,7.5,7.2,10.0,0.0,10.0,5.0,2.5,5.8,5.47,140.0,8.2,9.2,4.0,8.0,8.0,8.0,5.7,7.0,4.5,4.3,4.6,2.5,5.0,3.7,6.4,4.2,3.6,0.7,3.6,8.6,8.9,9.2,0.0,6.7,7.9,7.6,5.9,7.1,4.9,3.3,4.1,10.0,4.9,0.8,0.8,2.2,5.8,8.0,6.3,10.0,8.1,1.1,4.9,5.2,6.0,2.6,10.0,5.0,4.4,5.3,9.4,3.7,6.6,6.7,6.0,6.4,5.91,136.0
0,2017-01-01,COG,"Congo, Rep. Of",SubSaharan Africa,5.8,137.0,4.0,,,,3.4,6.3,5.0,10.0,5.0,10.0,10.0,8.0,10.0,,,7.5,8.8,7.7,10.0,0.0,2.5,4.2,,,10.0,9.5,8.5,9.4,10.0,2.5,,,10.0,,,10.0,,,10.0,8.5,10.0,8.1,1.7,2.0,10.0,7.5,7.5,6.7,,10.0,10.0,10.0,7.5,8.8,6.52,100.0,4.7,9.9,4.0,5.0,3.0,4.0,5.4,5.6,3.1,3.6,,5.0,3.3,3.0,4.4,,,0.7,3.1,7.6,5.5,9.9,0.0,5.7,9.3,7.6,7.0,8.0,4.0,0.0,2.0,10.0,,1.5,1.5,1.5,5.4,0.0,7.9,10.0,6.0,1.1,,,4.0,7.5,10.0,5.7,,1.1,7.6,,8.2,3.3,5.1,5.6,5.08,154.0
0,2017-01-01,ETH,Ethiopia,SubSaharan Africa,5.25,153.0,4.0,2.3,3.9,3.4,3.3,7.0,5.0,10.0,2.5,9.8,9.9,7.4,3.5,,,7.5,5.5,6.6,10.0,0.0,10.0,6.7,,,2.5,8.1,6.0,5.6,0.0,0.0,,,2.5,,,2.5,,,2.5,1.5,10.0,9.5,0.3,0.5,7.5,7.5,2.5,5.4,,0.0,0.0,0.0,7.5,3.8,4.77,153.0,7.0,9.1,4.0,7.0,3.0,5.0,2.8,5.6,4.5,4.3,5.3,1.7,7.5,5.5,7.0,5.0,5.7,0.8,4.7,9.0,8.9,8.0,0.0,6.5,3.2,6.5,5.3,5.0,4.7,3.3,4.0,10.0,4.4,0.0,0.2,1.5,5.1,2.0,9.2,10.0,7.1,6.7,4.5,5.5,10.0,7,10.0,7.3,4.6,2.4,8.4,4.0,8.7,6.6,5.8,6.7,5.72,143.0
0,2017-01-01,TCD,Chad,SubSaharan Africa,5.46,147.0,4.0,,,,3.1,6.4,5.0,8.7,2.5,8.6,10.0,7.0,6.2,,,5.0,5.6,6.3,5.0,5.0,10.0,6.7,,,7.5,9.2,7.8,8.2,5.0,5.0,,,7.5,,,7.5,,,7.5,6.5,10.0,10.0,2.7,2.5,10.0,7.5,10.0,7.5,,0.0,0.0,0.0,5.0,2.5,5.49,139.0,10.0,9.9,8.0,1.0,1.0,1.0,8.2,7.4,1.8,2.8,3.3,2.7,,2.2,6.5,2.9,3.2,0.7,2.7,8.8,8.7,9.8,0.0,6.8,,6.4,6.2,6.3,3.7,0.8,2.2,10.0,3.5,1.5,1.4,2.1,5.2,2.0,5.9,10.0,6.0,5.0,4.2,6.1,6.0,7.9,3.0,5.4,3.4,0.9,6.2,2.1,7.2,1.4,3.5,5.0,5.42,150.0
0,2017-01-01,CMR,Cameroon,SubSaharan Africa,5.64,143.0,4.0,2.3,3.7,2.8,3.0,9.4,5.0,9.1,2.5,6.8,8.0,6.3,9.9,,,7.5,8.7,8.1,0.0,5.0,2.5,2.5,,,7.5,8.5,7.7,7.9,7.5,2.5,,,5.0,,,5.0,,,7.5,5.5,10.0,7.9,2.7,4.3,7.5,7.5,7.5,6.8,,0.0,0.0,0.0,7.5,3.8,5.43,141.0,7.7,9.6,7.0,5.0,4.0,4.5,5.9,6.9,3.4,4.1,5.2,5.0,3.3,2.2,3.5,5.3,4.3,0.6,3.2,9.9,9.5,9.9,0.0,7.3,3.8,6.4,6.3,5.5,5.1,0.0,2.5,10.0,5.7,1.5,0.6,2.6,5.2,5.0,6.5,10.0,7.2,7.2,4.9,6.8,8.0,7,10.0,7.3,4.1,3.3,9.3,2.9,8.7,3.0,5.2,6.6,5.84,140.0
0,2017-01-01,GAB,Gabon,SubSaharan Africa,5.99,132.0,4.0,,,,4.1,6.8,10.0,10.0,5.0,10.0,9.8,9.0,10.0,,,7.5,8.8,8.2,5.0,0.0,2.5,2.5,,,7.5,9.9,9.4,8.9,5.0,2.5,,,2.5,,,2.5,,,7.5,4.0,10.0,10.0,2.0,3.8,7.5,7.5,2.5,6.2,,10.0,10.0,10.0,7.5,8.8,6.1,120.0,4.5,9.8,10.0,5.0,2.0,3.5,3.7,6.3,,4.4,5.1,3.3,5.0,2.9,4.3,6.4,5.9,0.8,4.2,7.2,7.8,9.5,0.0,6.1,,6.5,6.1,6.3,5.6,3.6,4.6,10.0,6.6,1.5,0.2,2.8,5.9,5.0,9.3,10.0,8.1,7.2,5.8,6.0,8.0,8.5,10.0,7.6,4.4,2.7,8.9,3.7,6.4,2.9,4.8,6.8,5.88,138.0
0,2017-01-01,MAR,Morocco,Middle East & North Africa,6.18,125.0,4.0,2.1,5.4,3.7,4.2,9.2,10.0,10.0,5.0,10.0,10.0,9.0,10.0,,,0.0,5.0,7.7,10.0,10.0,7.5,9.2,,,2.5,8.1,2.7,4.4,7.5,2.5,,,2.5,,,5.0,,,7.5,5.0,10.0,8.9,2.3,3.8,10.0,7.5,7.5,7.1,,0.0,0.0,0.0,2.5,1.3,5.68,135.0,4.5,7.3,8.0,5.0,3.0,4.0,7.3,6.2,4.7,4.6,6.4,6.7,6.7,5.0,7.5,7.6,6.9,0.8,5.6,9.6,9.7,9.8,0.0,7.3,9.3,7.7,3.5,6.8,5.2,7.8,6.5,10.0,6.7,0.8,7.4,5.0,7.1,8.0,8.4,10.0,8.8,1.1,3.9,7.4,8.0,5.3,10.0,5.9,4.9,5.8,9.7,4.3,9.5,8.3,7.1,7.3,6.69,92.0
0,2017-01-01,GHA,Ghana,SubSaharan Africa,6.94,70.0,2.0,5.1,6.2,5.1,5.7,9.2,10.0,10.0,7.5,10.0,10.0,9.5,9.6,,,2.5,6.1,8.2,10.0,10.0,10.0,10.0,,,7.5,8.8,8.0,8.1,7.5,7.5,,,7.5,,,7.5,,,7.5,7.5,10.0,10.0,7.0,6.8,10.0,7.5,10.0,8.8,,0.0,10.0,5.0,2.5,3.8,7.3,65.0,8.5,9.6,6.0,9.0,5.0,7.0,8.9,8.0,5.9,5.4,5.6,5.0,4.2,3.7,7.1,6.2,5.6,0.9,5.2,7.2,8.8,7.5,0.0,5.9,7.3,7.6,7.0,7.3,5.6,4.0,4.8,10.0,6.4,3.8,2.5,4.3,6.6,8.0,7.2,10.0,8.4,10.0,5.8,6.0,8.0,0,10.0,6.6,4.7,5.8,9.4,3.5,8.1,7.5,6.5,7.2,6.58,103.0
0,2017-01-01,TZA,Tanzania,SubSaharan Africa,6.26,118.0,3.0,3.3,5.0,3.9,4.2,7.5,5.0,10.0,7.5,10.0,10.0,8.5,9.0,,,0.0,4.5,6.8,10.0,5.0,10.0,8.3,,,5.0,8.3,6.0,6.4,7.5,5.0,,,2.5,,,5.0,,,5.0,5.0,10.0,10.0,3.0,4.5,10.0,10.0,5.0,7.5,0.0,0.0,10.0,5.0,2.5,2.5,5.75,130.0,6.5,10.0,7.0,8.0,4.0,6.0,3.8,6.7,4.6,4.7,5.2,6.7,8.3,5.7,7.0,5.6,5.1,0.9,5.7,9.9,9.2,8.9,5.0,8.3,7.3,7.4,5.1,6.6,4.9,0.8,2.8,10.0,5.0,1.5,10.0,5.5,6.2,8.0,8.3,10.0,8.8,5.6,4.4,5.9,10.0,8.3,5.0,6.5,4.4,2.0,8.5,3.9,7.9,7.7,5.7,7.0,6.77,87.0
0,2017-01-01,MMR,Myanmar,South Asia,5.44,148.0,4.0,1.5,3.7,2.9,3.0,9.1,5.0,6.9,5.0,8.6,9.9,7.1,10.0,,,7.5,8.8,8.3,0.0,0.0,2.5,0.8,,,7.5,6.9,4.7,6.3,7.5,7.5,,,5.0,,,7.5,,,7.5,7.0,9.4,9.4,2.3,2.8,10.0,10.0,10.0,7.7,0.0,0.0,10.0,5.0,2.5,2.5,5.26,144.0,3.8,9.9,7.0,9.0,9.0,9.0,4.3,6.8,2.7,3.9,3.4,2.5,5.0,1.9,7.0,,3.9,0.9,3.6,8.1,9.5,9.1,0.0,6.7,9.2,8.7,7.3,8.4,,0.9,0.9,10.0,3.9,0.8,0.0,1.5,5.2,0.0,8.0,10.0,6.0,7.8,,,8.0,4,0.0,4.9,,5.3,9.3,2.2,9.4,6.8,6.6,5.9,5.63,148.0
0,2017-01-01,TUN,Tunisia,Middle East & North Africa,6.08,129.0,4.0,3.2,4.9,4.3,4.8,8.8,10.0,10.0,5.0,9.9,9.9,9.0,10.0,,,0.0,5.0,7.6,0.0,5.0,10.0,5.0,,,7.5,8.0,3.8,6.5,7.5,7.5,,,7.5,,,7.5,,,10.0,8.0,10.0,10.0,4.0,5.5,10.0,7.5,10.0,8.1,,0.0,0.0,0.0,2.5,1.3,5.97,122.0,5.2,6.4,7.0,7.0,2.0,4.5,5.1,5.6,4.8,4.2,5.9,6.7,8.3,4.9,7.3,5.7,5.3,0.8,5.3,9.0,9.6,8.9,0.0,6.9,8.8,7.7,5.3,7.3,4.7,7.3,6.0,8.6,5.4,0.8,9.4,5.2,6.8,5.0,6.7,10.0,7.2,6.1,2.9,4.6,10.0,5.5,3.0,5.4,3.4,5.3,9.7,4.0,9.4,8.4,6.7,6.4,6.2,122.0
0,2017-01-01,LBN,Lebanon,Middle East & North Africa,6.74,88.0,3.0,2.9,4.7,3.7,4.3,8.4,5.0,6.2,2.5,9.1,8.4,6.2,10.0,,,2.5,6.3,7.0,10.0,10.0,10.0,10.0,,,7.5,7.9,6.0,7.2,10.0,10.0,,,7.5,,,7.5,,,10.0,9.0,10.0,10.0,3.3,4.8,10.0,10.0,10.0,8.3,,0.0,10.0,5.0,0.0,2.5,6.52,99.0,8.2,8.0,10.0,10.0,8.0,9.0,6.5,8.4,3.4,2.9,5.3,3.3,6.7,3.2,7.3,4.3,4.5,0.7,3.8,9.8,9.4,9.1,10.0,9.6,9.1,8.8,5.0,7.6,5.0,3.1,4.1,10.0,5.0,1.5,9.3,5.3,6.8,10.0,0.0,10.0,6.7,5.6,4.9,6.5,8.0,10,10.0,7.5,3.2,0.4,9.0,2.4,6.4,8.0,4.9,6.4,6.97,75.0
0,2017-01-01,IND,India,South Asia,6.64,94.0,3.0,4.0,4.2,4.2,4.3,8.7,5.0,9.8,5.0,9.9,9.9,7.9,10.0,,,5.0,7.5,8.0,5.0,5.0,10.0,6.7,,,5.0,5.5,5.9,5.5,7.5,7.5,,,10.0,,,5.0,,,5.0,7.0,9.9,10.0,6.3,4.5,10.0,7.5,7.5,8.0,7.0,0.0,10.0,5.0,5.0,5.7,6.37,108.0,7.0,9.0,10.0,8.0,8.0,8.0,7.1,8.2,5.8,5.8,6.0,6.7,7.5,3.1,5.9,6.0,5.6,0.8,5.2,9.7,9.3,9.5,5.0,8.4,7.9,7.2,3.3,6.1,5.9,6.4,6.1,10.0,5.8,0.0,0.3,2.1,6.1,2.0,7.6,10.0,6.5,7.2,6.0,5.9,5.0,6.3,10.0,6.7,5.7,3.8,9.3,5.6,9.4,6.9,6.8,6.7,6.91,79.0
0,2017-01-01,KEN,Kenya,SubSaharan Africa,6.85,79.0,2.0,3.0,4.6,3.8,4.0,8.0,5.0,9.4,5.0,9.2,9.6,7.6,7.9,,,2.5,5.2,6.9,10.0,10.0,10.0,10.0,,,7.5,7.7,6.5,7.2,10.0,7.5,,,5.0,,,5.0,,,7.5,7.0,10.0,10.0,4.3,4.0,10.0,10.0,10.0,8.3,10.0,0.0,10.0,5.0,5.0,6.7,6.65,92.0,7.6,8.9,6.0,8.0,8.0,8.0,6.7,7.4,5.5,4.8,6.0,5.8,5.0,4.4,7.1,5.2,3.5,1.0,5.2,9.1,9.4,8.4,10.0,9.2,7.5,7.4,5.2,6.7,5.4,5.7,5.5,10.0,6.1,3.8,3.8,4.6,6.7,10.0,0.0,10.0,6.7,6.7,5.5,6.4,8.0,6.3,10.0,7.2,5.0,3.8,9.0,3.6,8.3,8.0,6.3,6.7,7.05,70.0
0,2017-01-01,BGD,Bangladesh,South Asia,5.77,138.0,4.0,1.5,3.7,3.4,3.1,9.1,0.0,9.9,5.0,9.9,9.9,7.0,10.0,,,0.0,5.0,7.0,5.0,5.0,10.0,6.7,,,7.5,6.1,4.2,5.9,5.0,7.5,,,7.5,,,7.5,,,7.5,7.0,9.8,9.8,3.7,3.3,7.5,7.5,7.5,7.0,0.0,0.0,10.0,5.0,0.0,1.7,5.37,142.0,9.4,9.7,7.0,8.0,8.0,8.0,6.6,8.2,3.8,3.5,5.1,4.2,3.3,0.9,2.7,3.9,4.7,0.8,3.1,9.3,9.8,8.9,0.0,7.0,5.5,7.2,6.2,6.3,6.3,0.0,3.1,10.0,5.5,0.0,7.6,4.4,6.0,5.0,8.7,10.0,7.9,10.0,5.2,6.5,10.0,1.4,10.0,7.2,3.9,2.4,9.2,2.5,6.6,5.1,5.0,6.7,6.18,123.0
1,2017-01-01,NER,Niger,SubSaharan Africa,5.87,136.0,4.0,,,,4.1,8.2,10.0,6.8,2.5,7.7,9.3,7.3,9.8,,,0.0,4.9,6.8,5.0,10.0,10.0,8.3,,,7.5,9.3,6.6,7.8,5.0,5.0,,,5.0,,,7.5,,,5.0,5.5,10.0,9.5,4.7,5.3,2.5,2.5,2.5,5.3,,10.0,10.0,10.0,0.0,5.0,5.92,125.0,6.1,9.8,4.0,7.0,3.0,5.0,6.2,6.2,5.4,4.4,4.1,3.3,3.3,4.4,7.3,,,0.6,3.7,9.4,9.5,9.4,0.0,7.1,3.8,7.6,7.0,6.1,5.1,4.4,4.7,10.0,,0.8,2.1,1.4,5.6,10.0,7.9,5.0,7.6,1.7,,,8.0,7.4,0.0,4.3,,4.9,9.7,,9.4,7.0,7.7,6.5,5.83,142.0
1,2017-01-01,NGA,Nigeria,SubSaharan Africa,6.38,112.0,3.0,3.3,5.0,4.2,4.3,6.1,10.0,6.7,2.5,6.8,8.9,7.0,8.2,,,2.5,5.4,6.1,10.0,5.0,2.5,5.8,,,10.0,6.5,5.5,7.3,7.5,7.5,,,10.0,,,10.0,,,10.0,9.0,9.8,9.9,5.3,4.5,10.0,10.0,7.5,8.2,,0.0,0.0,0.0,5.0,2.5,5.9,128.0,10.0,9.9,10.0,9.0,5.0,7.0,6.1,8.6,4.0,2.9,4.6,3.3,3.3,4.8,4.8,3.2,3.4,0.7,3.3,9.0,8.6,6.7,10.0,8.6,,7.6,6.9,7.2,6.1,0.0,3.1,9.4,6.5,5.4,2.0,4.6,6.1,10.0,7.0,10.0,9.0,10.0,6.1,7.4,10.0,10,10.0,8.9,2.9,2.0,9.3,2.4,9.2,6.2,5.3,7.8,6.86,81.0
1,2017-01-01,CIV,C?te d'Ivoire,SubSaharan Africa,6.59,101.0,3.0,2.6,5.2,3.9,4.0,5.3,10.0,10.0,5.0,10.0,10.0,9.0,6.3,,,7.5,6.9,7.1,5.0,5.0,10.0,6.7,,,10.0,9.4,8.9,9.4,10.0,7.5,,,10.0,,,10.0,,,10.0,9.5,10.0,10.0,5.3,5.3,10.0,10.0,10.0,8.7,,10.0,10.0,10.0,10.0,10.0,7.2,67.0,6.5,9.4,4.0,3.0,1.0,2.0,7.8,5.9,2.4,4.2,4.8,4.2,4.2,4.0,7.1,3.9,4.6,0.9,4.2,9.3,9.3,9.9,0.0,7.1,5.1,7.6,7.0,6.6,6.0,1.8,3.9,10.0,6.4,0.8,2.4,3.2,5.9,10.0,8.1,5.0,7.7,5.6,5.1,7.5,8.0,7.6,3.0,6.1,3.6,3.8,9.8,4.0,8.3,7.7,6.2,6.7,5.97,134.0
1,2017-01-01,VEN,Venezuela,Latin America & the Caribbean,3.8,161.0,4.0,1.5,3.3,1.4,2.1,0.0,10.0,10.0,5.0,9.9,9.8,8.9,10.0,,,10.0,10.0,6.3,0.0,10.0,10.0,6.7,,,5.0,9.0,6.6,6.9,10.0,10.0,,,2.5,,,5.0,,,5.0,6.5,10.0,9.7,1.3,2.3,5.0,2.5,5.0,5.1,0.0,10.0,10.0,10.0,2.5,4.2,5.03,149.0,8.6,5.8,0.0,7.0,6.0,6.5,2.0,4.6,0.2,0.6,1.2,0.8,1.7,2.4,8.1,1.3,1.6,1.0,2.0,2.8,0.0,0.0,0.0,0.7,8.4,7.2,6.1,7.3,4.1,0.0,2.0,0.0,3.1,0.0,7.2,3.4,3.2,5.0,0.0,5.0,3.3,0.0,0.9,5.6,4.0,,0.0,2.1,1.1,0.0,3.3,1.5,5.0,1.1,2.0,2.5,2.58,162.0
1,2017-01-01,MRT,Mauritania,SubSaharan Africa,5.47,146.0,4.0,,,,4.2,6.0,10.0,10.0,5.0,10.0,10.0,9.0,3.3,,,0.0,1.7,5.6,0.0,10.0,10.0,6.7,,,5.0,9.1,2.9,5.7,7.5,7.5,,,7.5,,,0.0,,,5.0,5.5,10.0,7.7,4.3,5.0,5.0,5.0,5.0,6.0,,0.0,0.0,0.0,0.0,0.0,4.83,152.0,3.5,,7.0,6.0,6.0,6.0,7.0,5.9,2.5,1.9,2.3,4.7,,6.3,7.6,5.7,5.7,0.6,3.7,9.5,8.2,9.5,5.0,8.0,,7.6,7.2,7.4,2.6,5.6,4.1,10.0,3.5,3.3,1.0,2.6,6.0,10.0,8.5,9.0,9.2,4.4,3.6,6.1,8.0,7.9,5.0,5.9,3.0,2.4,9.6,2.7,9.2,7.0,5.7,6.9,6.11,128.0
1,2017-01-01,MLI,Mali,SubSaharan Africa,6.03,131.0,4.0,,,,3.9,5.6,0.0,3.8,2.5,3.5,6.3,3.2,1.7,,,5.0,3.4,4.1,10.0,10.0,10.0,10.0,,,7.5,9.0,9.3,8.6,7.5,7.5,,,7.5,,,7.5,,,7.5,7.5,10.0,10.0,7.3,5.3,7.5,7.5,7.5,7.9,,10.0,10.0,10.0,5.0,7.5,6.15,116.0,6.5,9.9,2.0,5.0,1.0,3.0,7.2,5.7,3.7,3.9,4.3,4.2,5.0,2.6,5.8,3.7,3.8,0.7,3.5,9.9,9.7,9.6,0.0,7.3,8.0,7.6,7.0,7.5,4.5,5.3,4.9,10.0,4.4,0.8,10.0,5.1,6.9,10.0,8.1,5.0,7.7,4.4,5.0,5.1,8.0,7.6,0.0,5.0,4.1,3.3,9.0,2.9,8.9,7.0,5.9,6.2,5.91,136.0
